用户,时间,内容
haughty彤,05月15日 00:35  来自 iPhone,"c
haughty彤
05月15日 00:35  来自 iPhone
快离职了，随便写点：
Why：这个问题其实已经明确很久了
1、无意义感：已经度过了早期的成长期，目前工作内容重复了很久，没有成长的意义感，也没有太多动力。
2、束缚感：即使没有工作，也要坐在这里磨洋工、装样子，很多时候确实是没苦硬吃（可以装，但是接受不了大晚上也装）
3、焦虑感：35岁被干掉 展开c"
擎报动力,05月09日 19:26  来自 微博网页版,"c
擎报动力
05月09日 19:26  来自 微博网页版
富婆建议：汽车博主一定要做双赛道

Hii，我是富婆👋
最初选择赛道时，我看中汽车赛道的潜力，但是创作中我发现笼统的汽车图文内容谁都可以发
没有身份的依托，内容空洞无物[汗颜R]
.
于是我结合专业知识+10年媒体工作经验，开始做双赛道结合：
汽车图文+媒体运营双赛道模式
这样不仅能吸引 展开c"
李小粥的茶水间,05月04日 16:20  来自 微博网页版,"c
李小粥的茶水间
05月04日 16:20  来自 微博网页版
B站今年五四青年节的短片，挺值得一看的，主题叫「消失的青年」。消失的原因当然不在于青年人自己，而是外界愈发丰富的、渲染焦虑的信息轰炸，这点作为90后我是深有感触的。

早从二十年前纸媒时代开始，媒体就已经善于包装名词，什么“80后是失去的一代”、“90后是毁掉的一代”，经常见诸报端杂志。
展开c"
王大力如山,04月25日 08:07  来自 微博音频,"c
王大力如山
04月25日 08:07  来自 微博音频
#听见微博# #微博声浪计划# 大家好，我是就业研究所的所长：王大力。
刚结束实习的小周放下冰美式，焦虑地刷着""金融裁员潮""热搜时，后台突然弹出一条消息：""投行慈父力哥开播啦！""顺着网线钻进小红书直播间，却意外听到主播在大口嚼饼干：""孩子们，咱们今天聊点扎心的——当年在投行和互联网间做选择的 展开c



















































播放视频"
大鱼Daaa,04月16日 22:31  来自 iPhone 14 Pro Max,"c
大鱼Daaa
04月16日 22:31  来自 iPhone 14 Pro Max
赚到百万以上，却还是没自信的事业女性，如何破局？

1、把自己的过往所拿到的成绩罗列出来，把自己最具优势的技能罗列出来。
比如我是实体9年，私域8年，变现过几个七位数，而我最擅长的就是微信私聊，私聊转化。这个技能如果在互联网公司，应聘私域运营总结，月薪至少也是2W以上的。

2、持续不断强 展开c"
十月息,04月14日 20:53  来自 微博网页版,"c
十月息
04月14日 20:53  来自 微博网页版
有人嘴上说着现在看不了superpanda的《水火难容》，其实这两天又重温完了……………………而且更感慨了。

首先这篇文从最浅层的情感反馈来讲，是我能感受到对抗感最强烈的那种，两个人是真正意义上的势均力敌，作者也花了功夫来平衡他们俩各方面的实力。他们彼此自然而然地被吸引，经历过挣扎、涌动的 展开c"
吃菜的悟空,04月13日 22:55 转赞人数超过20  来自 微博视频号,"c
吃菜的悟空
04月13日 22:55 转赞人数超过20  来自 微博视频号
打工哪有不发疯的，快乐上班是不可能的

脱口秀爆梗名场面 今晚不加班 L吃菜的悟空的微博视频
播放视频"
王大力如山,03月28日 08:12  来自 微博音频,"c
王大力如山
03月28日 08:12  来自 微博音频
#听见微博# #微博声浪计划# 这是一档关注金融从业者和已退休从业者的栏目，主理人是王大力。
大家好，欢迎来到大力如山，我是王大力，一名从月薪六千做到百万年薪的退休投行老兵。只是我的身份不仅限于此，我还是金融职场自媒体大力如山的创始人、上海陆家嘴金融城发展基金会 金融职业发展专项基金的发 展开c




































播放视频"
边永元,03月24日 19:59  来自 微博视频号,"c
边永元
03月24日 19:59  来自 微博视频号
#周鸿祎学广西话给粉丝表白#阻碍你走向成功的九种心态，必须改掉，人生充满了“试错”总好过人生充满了“如果”﻿！#周鸿祎学方言给粉丝表白# L边永元的微博视频
播放视频"
环球纪录频道,03月24日 18:41  来自 微博视频号,"c
环球纪录频道
03月24日 18:41  来自 微博视频号
#周鸿祎学广西话给粉丝表白# 周鸿祎解读：阻碍你成功的9种心态，必须改掉！#周鸿祎学方言给粉丝表白# L环球纪录频道的微博视频
播放视频"
董指导挤出俩酒窝,03月18日 19:35,"c
董指导挤出俩酒窝
03月18日 19:35
AI的能力，是越来越强了。是不是意味着超级个体，也越来越容易了呢？

DeepSeek R1 没发布之前，我觉得AI写文字，比普通人强一些，但对于我们这种码字的人来说，还欠火候很多。但R1发布后，我深深觉得，能取代70%码字人了，不少文笔我是写不出来的。

Manus没发布之前，我想做个Agent，还需要一些开发 展开c"
得蜜,03月08日 23:47  来自 iPhone 14 Pro,"c
得蜜
03月08日 23:47  来自 iPhone 14 Pro
回国这一周，又像个干电池了，每天哐哐干到十点十一点，晚上来不及头脑降温，常常是很困刷着手机睡着了，中途又醒来数次。周五原计划不加班，跟老姐妹相约live house，听歌喝酒释放一下压力。结果我到8点才得以抽身，另一个姐妹9点才来，电话会议还没挂，人机一直合体。我嘲笑她：看你这样还以为baba股 展开c"
电商经理人联盟,03月07日 23:15,"c
电商经理人联盟
03月07日 23:15
#经理人夜话# “能干一天是一天”听到越来越多，也是大多互联网厂工的普遍心态。

我是放平了，怎样都能接受，活着总会有不同的遭遇和经历，绕不过的终究是要面对和经历的，有些不得已未尝不是好事。"
Rongheem_,03月07日 04:27  来自 iPhone 15 Pro Max,"c
Rongheem_
03月07日 04:27  来自 iPhone 15 Pro Max
深夜小记（一不小心写了2000字版）：

我是真的很喜欢我现在的这份实习

每天早早的起床 画上通勤小妆12:30出门 开开心心的走到公司 到公司一楼前台接待处拿纸杯接上一杯暖心热饮 刷工牌 进电梯 拍一下今日ootd

工位一坐 同事闲聊两句 打开电脑接杯水 检查昨日进展 制定今日todolist 和远在沙特的me 展开c"
搞钱女孩Fay,03月03日 13:50  来自 iPhone客户端,"c
搞钱女孩Fay
03月03日 13:50  来自 iPhone客户端
从早上9点钟开始。一直到现在刚刚结束。我在公司接待了17波。想要跟我合作国际机票打折业务的？实话实说。和你们聊一聊我的想法。除了一个人，其余的人我一个都没看上。除了一个来自湖南长沙的。一个女生。很小。什么钱？从我的内心来讲，我反而喜欢和。这种人合作，你们知道为什么吗？从聊天的过程当 展开c"
孙琳Angelina,03月01日 19:14  来自 Redmi K60 至尊版,"c
孙琳Angelina
03月01日 19:14  来自 Redmi K60 至尊版
【汇总合集｜学霸私房课｜日常心理41-50】

学霸私房课｜日常心理41
#DeepSeek回答如何过好这一生#
ds有一点值得学习的是它会提供深度思考的过程。包括预测用户真实需求，多角度思考，给出案例。大家要尽快上手，工作效率提高。但局限在于原创性内容工作是不够的。而且不能把ds当成外部权威信息来源。
展开c"
枕边风theuglytruth,02月22日 22:41  来自 微博音频,"c
枕边风theuglytruth
02月22日 22:41  来自 微博音频
/节目更新/「vol.303 她不仅是小宇宙COO，也是一直在成长的芒芒」

总是在播客活动现场见面的miya和芒芒，终于录音室里见面啦！这是两人第一次在录音室里聊了聊工作、成长、播客行业的变化，以及如何在不确定中前行。

芒芒回顾了自己的职业轨迹：从豆瓣到即刻，再到小宇宙，她的每一步似乎都带着随机 展开c






























































播放视频"
上游视频,02月21日 13:46  来自 iPhone客户端,"c
上游视频
02月21日 13:46  来自 iPhone客户端
#重庆猎头女王揭秘人才争夺战#【百姓记录｜我是猎头女王，一个比你更懂你的人才捕手】#猎头建议职场人要主动学习使用AI#12年间，从行业新人成长为猎头公司创始人的颜绮，见证了我国人才市场的结构性升级，也亲历了猎头行业从“简历搬运工”向“战略人才顾问”的蜕变。
猎头与普通人力资源的本质区别， 展开c










播放视频"
醉仙美6,02月19日 03:44  来自 微博视频号,"c
醉仙美6
02月19日 03:44  来自 微博视频号
老狗决定这个月结束后将公司全员遣散，已经开完会！

网友扣字吐槽：你还差这点钱？

老狗说：我做企业要懂得节流开支！没有必要的开销为啥要花？我是不差钱，但都是辛苦攒下来的。

网友：五哥（丁老五）一个人就能把公司挑起来！

老狗：那是吹牛x，他毕竟岁数大是老人，跟当代年轻人没法比，互联网 展开c








播放视频"
Dewrar,02月17日 22:37  来自 iPhone,"c
Dewrar
02月17日 22:37  来自 iPhone
虽然互联网大厂员工35岁被优化的报道频见报端，但我还是很好奇：为什么这些大厂员工会落得一个失业又背负高昂房贷的结局呢？

能在头部大厂工作的人，无疑都是人中龙凤，学历、能力、智力样样顶尖，这群人大概是全中国最聪明、最精英的群体之一。抛开企业因素不谈，这群最聪明、最精英的人本应有一定的 展开c"
还在努力开花,02月14日 23:25  来自 iPhone客户端,"c
还在努力开花
02月14日 23:25  来自 iPhone客户端
好辣 今天就给大家分享一下俺这两年从4.25k换了四家公司 怒刷到8.5k（现在才发现正好是两倍）的故事

可能会比较适合应届或者即将毕业的宝宝，括弧，俺就是个小二本文科生，这些经验勉强算上一些求生指南吧，没啥纲要，想到哪写到哪，可能会有点混乱和冗长

🐣先就业还是先择业？
就业就业就业，这个 展开c"
本宫就要买买买,02月12日 19:39  来自 微博网页版,"c
本宫就要买买买
02月12日 19:39  来自 微博网页版
改变女生气场格局的38个顶级想法

1、尽可能去变美
你不得不承认，长得好看就是有用，特别是在互联网时代，你身材好，年轻美貌，就能获取流量，创造财富。美丽，也是发财致富的秘籍之一，要慎用，要会用，而不是乱用。所以尽可能让自己变美，没有天生的，那就后天培养。

2、原谅自己
人生中遇到的所有 展开c"
焦剧,02月05日 22:07  来自 iPhone客户端,"c
焦剧
02月05日 22:07  来自 iPhone客户端
此刻坐在公寓楼下的咖啡厅，看着眼前杯中苏打水里的倒影，码下这段文字

又一次，在没有完全的着落前，提了离职

没有跟太多人说过这个我想了很久的决定，不是冲动，是连续想了几个月之后的下定决心

在这样不景气的环境下，在我有这个想法初期，正常人都会劝我稳妥起见不要裸辞。我很难把我现在的处境 展开c"
酱娱,01月25日 22:30 转赞人数超过1200  来自 微博视频号,"c
酱娱
01月25日 22:30 转赞人数超过1200  来自 微博视频号
麦琳说会听取网友建议找个班上麦琳心态还蛮好的，确实是干互联网工作的料 麦琳 脱口秀 #优质博文上热搜开放计划# L酱娱的微博视频
播放视频"
相逐相欢,01月04日 03:13  来自 微博网页版,"c
相逐相欢
01月04日 03:13  来自 微博网页版
你是如何理解“钱是给女人看的 不是给女人花的”?

大宾哥

很多话你们别听个热闹就拿去不分场合用，尤其要搞清楚，这种“下断言”式的话你得看是谁说的、他是什么社会生态位、他说了算你说了算不算？

当然了，如果是口号式的拿出来过嘴瘾那就没什么好说的，下面我换个角度，简单拆解一下这个问题。

展开c"
赵老师很努力,2024年12月31日 10:47,"c
赵老师很努力
2024年12月31日 10:47
离老家有些距离，不是坏事
网友来信：
赵老师，您好！平时经常看您发的文章，很认同您的观点，希望您这次能说说您作为过来人的看法。

我是山东女孩，我今年刚刚大学毕业，23岁，正如所有人都羡慕的那样，我一毕业就考上了教师编,现在在离家开车一小时的城市市区工作，毕业后我考了家附近的几所城市， 展开c"
8生生不息8,2024年12月23日 14:28  来自 HUAWEI P40 5G,"c
8生生不息8
2024年12月23日 14:28  来自 HUAWEI P40 5G
探索 ACT 治疗：开启心理疗愈的新旅程

在当今快节奏且压力重重的生活中，许多人都在寻找有效的方法来应对焦虑、抑郁、压力等情绪问题，以及改善人际关系和提升生活质量。而接纳与承诺疗法（ACT）逐渐走进了大众的视野，成为了一种备受关注的心理治疗方法。

一、ACT 治疗是什么？

ACT 治疗的全称 展开c"
重生之我在wb撒野,2024年12月22日 23:16  来自 iPhone客户端,"c
重生之我在wb撒野
2024年12月22日 23:16  来自 iPhone客户端
感觉回国这半年我的心态转变巨大
一年前我肯定无法想象自己居然乐意放弃更多钱的大厂工作留在广州
出国之前和刚回国那段时间，我一直都很焦虑
焦虑自己出国也没用，回来无法找到体面高薪的大厂工作，对不起爸妈花的这么多钱
回来之后马不停蹄的找大厂实习，然后千里迢迢的跑去上海倒贴实习，就是为了能 展开c"
刘新征,2024年12月19日 16:43  来自 微博网页版,"c
刘新征
2024年12月19日 16:43  来自 微博网页版
看《我是刑警》，这个片子其实优秀的并不是那些剧情，我一直认为，剧情无论如何精彩都只体现了编剧的个人见解和世界观，这很大程度上也是我不喜欢虚构类作品的原因。

人是无法想象没有见过的东西的，这是个铁律。

当编剧写伦理剧、感情戏，甚至是悬疑戏的时候，他是擅长的，编剧可以充分的炫技，而我 展开c"
李明Bright,2024年12月12日 11:39  来自 微博音频,"c
李明Bright
2024年12月12日 11:39  来自 微博音频
#听见微博# #微博声浪计划# 【关于节目】
这是一档聚焦商业、科技、互联网领域，一同成长进化的栏目，包括资讯解读、产品运营、市场增长实战经验，读书学习、认知思考分享，和大家一起更好地理解新商业和新科技，在业务增长和个人成长的道路上持续进化。
我是李明Bright，前阿里巴巴的产品专家，前KaDa 展开c










播放视频"
吃木头不吐老阿机,2024年12月06日 20:43  来自 微博音频,"c
吃木头不吐老阿机
2024年12月06日 20:43  来自 微博音频
年底啦！是不是“上班”上得巨累？谁会喜欢上班！还不是不得不上班？！#一条音频告别2024# #听见热爱 大胆开麦#

最近因为常常听各位老板对上班的吐槽，也想到之前几次跟各种不同类型高强度消耗相关的“班兽”的斗争。

今天就探讨一下，从很累很内耗的上班中，恢复方法吧！#机秘通话#

🙋‍♀️温馨 展开c


































播放视频"
比奇堡的堡草,2024年12月04日 21:42  来自 iPhone 16 Pro Max,"c
比奇堡的堡草
2024年12月04日 21:42  来自 iPhone 16 Pro Max
都在说大学生找不到工作，我分享一下
我作为一个两年从打工人转化成“工作室老板”
我开掉员工的过程
发生在昨天，孙给我发了一张截图
看到的时候整个人都在发抖 是生理性的抖
大致就是我在线下招的小助理，在和她的朋友吐槽
我是多么的“伪女权”

而她的朋友附和到：“以后我们都 展开c"
每天读点正能量,2024年11月18日 20:51  来自 iPhone客户端,"c
每天读点正能量
2024年11月18日 20:51  来自 iPhone客户端
【幽默一笑】（97）

1、年轻真好，我也是年纪大了才知道。
2、越来越不爱说话了，最近打算去报个手语班。
3、给大家介绍一下我的互联网替身
4、人生还是要有梦想的，即使是咸鱼，也要最咸的那条。
5、机会是留给有准备的人，没有机会别瞎准备。
6、漂亮女人有点脾气怎么了？怎么了？
7、你全力做到最 展开c"
JetGoJetGo,2024年11月02日 09:26  来自 iPhone客户端,"c
JetGoJetGo
2024年11月02日 09:26  来自 iPhone客户端
前天有位朋友带着他的一帮学生到公司来参观交流的时候提了三个问题：第一公司的第一桶金是哪里来的？第二公司的核心竞争力是什么？第三公司的使命是什么？
我是这样回答的：第一公司的第一桶金是我们几个合伙人之前工作的积累，加上朋友凑的一些钱，没有大家想象的那么大的机缘跟运气比较普通的路子。
展开c"
改命人姜戈,2024年10月25日 11:24  来自 三星Note20 Ultra 5G,"c
改命人姜戈
2024年10月25日 11:24  来自 三星Note20 Ultra 5G
和什么样的人聊天才能愉悦和舒服？
对方能够听懂你的话，能够包容你的感受，同时还能够冷静的分析你的弱点，你的不足，你选择的错误，最后还给你正确的建议，这种聊天是最舒服的。

我在人生的道路中，非常有幸的遇到了一位贵人，我进入互联网大厂工作的第一位上司，英文名叫Johnson。

他是个家境非常 展开c"
踩着风火轮的姑娘whhhh,2024年10月20日 18:11  来自 iPhone客户端,"c
踩着风火轮的姑娘whhhh
2024年10月20日 18:11  来自 iPhone客户端
关系中、团体中的权力和地位，都是靠自己争取捍卫来的。人活在一张互联网当中，身处群体，无论是亲朋好友，还是学业工作，你都不可能完全独来独往、独善其身。保持独立性的情况下，还能自给自足、不被坏人欺负坑害，这需要很高的智慧和能力。
内心的力量，是从不断面对恐惧、走出盲区开始，当你解决一 展开c"
菲比福-辛香兰,2024年10月15日 15:34  来自 iPhone 15 Plus,"c
菲比福-辛香兰
2024年10月15日 15:34  来自 iPhone 15 Plus
《雌竞，被污名化的新词（下）》

四、雌竞被污名化过程

过度的雄性竞争，比如印度某油，大大大大技术也让人不适。

但，我们发现，雄性竞争，并没有被狭义缩小内涵至通过盗窃、抢劫、强奸、诈骗等非正当、非法途径、手段获得女性性资源及繁衍机会上。也没有被局限在印度某油里。

（下期继续聊… 展开c"
软妹昱小可爱,2024年09月24日 19:19  来自 🐯🧇iPhone 14 Pro,"c
软妹昱小可爱
2024年09月24日 19:19  来自 🐯🧇iPhone 14 Pro
#可爱胡胡的流水账屁话#
秋天来了 院子里的果子熟了
俺也要走了 去过自己的秋天了👋
Doby is 🆓 🧚！

昨天下班和她们拜拜的时候 jerry 哥说 这是真的拜拜的再见吗 我说 没有啦！明天还一堆事儿呢明天再真再见
今天又再见再见 真再见啦 和我结束最快的一份实习👋 但这一份也是最像 展开c"
破家有衔蝉,2024年09月22日 08:55  来自 iPad air,"c
破家有衔蝉
2024年09月22日 08:55  来自 iPad air
警惕颜割！别忘了“白纸”。虽说不足为惧，相信国家。但也是一件必须小心谨慎处理的事。现在是民间发声，官家不好出面，毕竟外面风大雨大，掌舵人必须全神贯注，不被干扰。国内媒体要么是软脚虾，要么干脆本身就是带着任务的，不火上浇油就不错了，正义发声就别指望了。好在如今见到许多博主自发地为无 展开c"
王大力如山,2024年09月06日 08:37  来自 微博音频,"c
王大力如山
2024年09月06日 08:37  来自 微博音频
#听见微博# #微博声浪计划# 大家好，我是就业研究员贝贝。
本期节目邀请的嘉宾是我的高中同学：钒钒。我和钒钒高中时是同桌，平时上课下课老爱讲话，我明明记得他作为化学课代表，那时候跟我讲他想报考材料化学，结果后来居然干到北邮读信息工程去了。但不管他曾经的志向是什么，当年像我俩最后一个读 展开c



































播放视频"
默庵·超级个体,2024年08月13日 15:52  来自 微博网页版,"c
默庵·超级个体
2024年08月13日 15:52  来自 微博网页版
小公司，装不下大厂人

今天看到一篇文章，讲的是小公司不欢迎大厂离职员工的话题。

我其实是非常有感触的， 我身边也有类似的例子。

以前，我们总是喜欢这么一个词语，叫：大厂镀金。当你去大厂工作几年之后，就背负了上了大厂光环，给自己镀了一层金。当时，很多中小型企业确实很喜欢大厂出来的人 展开c"
田一依依,2024年08月10日 01:01  来自 J音社超话,"c
田一依依
2024年08月10日 01:01  来自 J音社超话
J音社超话
各位dmls好，我是截图中的鱼崽，针对热门老师帖子中的截图，站在我的角度解释一下当时的情景：
当时刚进入连雾直播间，看到弹幕第一反应确实是本着吃瓜人的心态在解读弹幕，所以接了两句话。一方面没意识到谣言的真实性，一方面确实不该在公众场合发表吃瓜言论，为此特向热门和乌龙茶道 展开c"
PITD亚洲虐待博士组织,2024年08月08日 19:53,"c
PITD亚洲虐待博士组织
2024年08月08日 19:53
pitd树洞超话

虐虐，想投稿。我是2024届应届毕业生，秋招拿到了互联网大厂offer，最近入职两个月辞职了。这份工作早上九点到晚上九点，周末我还需要加班，我在上班的过程中，没有人教我，我自己看别人的东西做他们给我的文档，做出来错了以后他们问我为什么不问，我问了以后又问我为什么不主动思 展开c"
玻璃绷带小狗_,2024年08月07日 15:51  来自 iPhone客户端,"c
玻璃绷带小狗_
2024年08月07日 15:51  来自 iPhone客户端
今天找同济哥姐喝咖啡
感觉tj哥的思维真的挺超前的 真的佩服
我跟他们吐槽领导
tj哥觉得领导的想法没错
连部门里其他人都觉得我做的没错
他觉得领导批评我是有理由的
有时候感觉如果自己真的理解不了领导的思维
可能真的就不是做领导的料
因为她们爬到这个高度一定是有原因的
或许我真的该去适应一下公 展开c"
狗鱼实干家来自1208,2024年08月04日 12:13  来自 iPhone客户端,"c
狗鱼实干家来自1208
2024年08月04日 12:13  来自 iPhone客户端
之前和朋友说，等我上几天班再来和你分享我的班后感，现在我已经不能确定自己是不是在上班了

在入职培训的一周半，我下意识的把自己当成一个学生，抱着学习的心态，在正式上班的两周，因为管培生的特殊性质，我觉得自己仿佛还是一个学生，大家也把我当成一个学生，帮助我去学习

管培生真的是一个利弊 展开c"
-枝微,2024年07月30日 22:53  来自 iPhone,"c
-枝微
2024年07月30日 22:53  来自 iPhone
这几天的工作真的让我感觉无比痛苦…当初进入互联网公司时，我是抱着“好好干，大不了试用期内双方都觉得不合适我们就互相拜拜”的心态来的，心想放平心态，努力工作，那结果应该也不会太差。但是这两天我真的，这样的工作让我身体、心灵都受到了严重的伤害，我明显感受到了我由内而外的低压和情绪紧张 展开c"
星河网事,2024-07-26 18:48 转赞人数超过100  来自 微博视频号,"c
星河网事
2024-07-26 18:48 转赞人数超过100  来自 微博视频号
林木怒斥俞美之忍你很久了 不是一个量级的你不配跟我对话 换多少搭档了都是别人的错啊
我说的已经很收敛了，少在直播间提我，最好不要提我，她给我拉黑了，我视频里根本不会出现她，我俩在团队就是陌生人，不要提我了我老累了，也不要说男的没有格局，既然男女平等，就按照平等的来，你们看看回放谁先 展开c

播放视频"
温爸教子,2024年07月20日 17:06  来自 微博网页版,"c
温爸教子
2024年07月20日 17:06  来自 微博网页版
企业一般是不会倒闭的。业务骨干到任何时候都不需要纠结焦虑

现代企业大多并非以彻底倒闭这种方式告终，更多是通过重组来实现转型与新生。当一些企业经营状况不佳，运转遇到难题时，我们不能轻易就认定它们没有价值了。实际上，企业仍然拥有大量珍贵的资源，像厂房、设备、土地这类有形资产，还有技术 展开c"
王大力如山,2024年07月19日 08:15  来自 微博音频,"c
王大力如山
2024年07月19日 08:15  来自 微博音频
#听见微博# #微博声浪计划# 这是一档关注金融行业职场从业者和已退休从业者的栏目，主理人是王大力。
之所以缘起要录今天这期节目，是因为最近金融行业发生了挺多不好的事，比如之前中金的那位女生去世，让人深感惋惜和痛心。而与此同时的互联网上，也出现一些新的叙事，像是历史进入垃圾时间，做金融 展开c



































播放视频"
一个坏土豆,2024年07月13日 20:16  来自 微博网页版,"c
一个坏土豆
2024年07月13日 20:16  来自 微博网页版
我曾长期深陷失业的恐惧与绝望！

土豆说：

最近连续写了几期经济，留言板聊的最多的问题之一就是失业。

宏观上我聊了几期了，今天从个体角度来谈谈这个问题，我们应该如何度过人生的至暗时刻。

别的我不敢说，但谈到失业，我真的是这个方面的专家。

我失业的经验陆续加起来超过了6年.......几乎占 展开c"
挽回,2024年07月13日 13:35  来自 微博网页版,"c
挽回
2024年07月13日 13:35  来自 微博网页版
为什么现在人都不想结婚了？

婚姻，作为人类社会中一项古老而重要的制度，长久以来承载着繁衍后代、经济互助、情感依托等多种功能。然而，在当今社会，越来越多的人开始表现出对婚姻的犹豫甚至排斥，结婚率的持续下降已经成为一个全球性的社会现象。那么，究竟是什么原因导致了现在的人们普遍不想结婚 展开c"
李桂江,2024年06月09日 14:25  来自 微博网页版,"c
李桂江
2024年06月09日 14:25  来自 微博网页版
#董宇辉称到今天都不享受直播工作# 董宇辉说：“我是非常抗拒卖东西的，实事求是，我到今天都不享受这个工作”，虽然觉得自己的工作有支撑意义，但没有喜悦，“可能本质上还是自己以前性格上的原因，过去职业的原因”。

我相信他讲的是真话，工作的东西，很少人能真正喜欢的。以前有问你觉得最辛福的 展开c"
三联生活周刊,2024年05月27日 12:49  来自 微博网页版,"c
三联生活周刊
2024年05月27日 12:49  来自 微博网页版
【#一份双休工作我用了10年才找到# 】#双休和单休真是两种人生# 在35岁之前，我终于找到了一份双休工作，很多人的第一份工作就是双休，而我却用了10年才找到，这其中我觉得主要是由于我的选择和能力欠缺造成的。

我是2008年江苏省高考改革的第一届，那年我是踩着二本分数线上了我们省内的一所二本工科 展开c"
祉野,2024年05月22日 11:48,"c
祉野
2024年05月22日 11:48
上学被同学霸凌，上班被同事霸凌，在互联网还要被大男主粉霸凌，天生被霸凌的命我是"
唐三秒Fiona,2024年04月25日 19:41  来自 iPhone客户端,"c
唐三秒Fiona
2024年04月25日 19:41  来自 iPhone客户端
重生我是全职宝妈设计师

自二一年突然知晓有了宝宝开始🤰工作就开始团糟图从来没有想过会经历那么现实的职场，短短两个月公司经历了停业，注销，开张🌚

❗️❗️❗️最后结果就是我离职了，还是自愿签署的离职承诺书，这一签换来的就是再也回不去，这一签换来的就是三年的待业经历，或许这就是麻 展开c"
忘忧小说,2024年04月19日 00:30  来自 iPhone 11 Pro Max,"c
忘忧小说
2024年04月19日 00:30  来自 iPhone 11 Pro Max
《能做不能说的职场潜规则》
第1章
我们公司空降了一个总经理，据说是总公司某个领导的亲信。
为了尽快做出业绩，他直接把我这个公司销冠开了，然后把我的客户全部划到他自己名下。
还大幅调低了公司客户的分成比例，跑去跟总公司领导邀功。
他在年会上说：看我多厉害，才来几个月，就给公司盈利了几个 展开c"
霓彩鱼跃,2024年04月16日 00:07  来自 Redmi 7,"c
霓彩鱼跃
2024年04月16日 00:07  来自 Redmi 7
《青蛙王子与灰姑娘》
英俊在单位，房产业务越来越熟练，同事相处的也不错，做了店长，与我的相处比较好的同事朋友相处的不错，我们经常结伴一起小聚，K歌、台球、吃饭喝酒，他也会和他的同学泡网吧玩游戏，后来他自己租了一个小小的房子，从合租的地方搬出来了，他的同学与女友一起租住了，我偶尔过去 展开c"
星屿漫川,2024年04月13日 20:21  来自 北方有谷堆Android,"c
星屿漫川
2024年04月13日 20:21  来自 北方有谷堆Android
抛去她写的文（当然我非常喜欢她的作品），她这个人就是一个让我很敬佩很羡慕也很强的女性，因为很久没有刷到她的微博内容，我还是在这件事之后去翻了她微博，发现这条，她在工作上遇到轻视，她的回答是“我会用我的业务能力狠狠打脸每一个把人看扁的白男让他知道我这么年轻坐到这个位置是有真本事的” 展开c"
清河庆,2024年04月09日 11:39  来自 Redmi Note 12 Turbo,"c
清河庆
2024年04月09日 11:39  来自 Redmi Note 12 Turbo
只要人活着，就不可能不痛苦。当你意识到自己辛苦的付出和努力后仍然达不到别人的起点，当你发现自己的生活状态不尽人意，当你做了很多尝试还是走不出困境，就会觉得苦闷。

我是苦闷的，我相信大多数的年轻人也是苦闷的。因为在我们共同所处的社会环境，经济周期，文化氛围里。我们很难获得：满意的工 展开c"
早睡早起好过一病不起,2024年03月21日 00:08  来自 微博轻享版,"c
早睡早起好过一病不起
2024年03月21日 00:08  来自 微博轻享版
03.20
我人生的这趟列车，终会到达那里
————————————

ootd之又是装聪明蛋的一天，最近皮肤状态巨好，走在路上觉得艳压群芳，我这个人真是漂亮不得一点[不好意思]（自拍时嘴凸是一点都不提哈）

找工作第三天，一回舒适圈真的就舒适了。上午斗志极低，在我非常真诚但有点烦人地争取机会、 展开c"
dnixnehj,2024年03月19日 23:09  来自 荣耀70 Pro 5G,"c
dnixnehj
2024年03月19日 23:09  来自 荣耀70 Pro 5G
讨厌一些自以为是的男领导
并没有让我感受到互联网公司的扁平化管理
开会的时候不认真听就要被提问比上课还严格
还要被迫说一些虚伪的对工作的期待对公司的夸奖
现在的心态就是反正我是实习生大不了开除我"
深白的幻想森林w,2024年03月18日 19:00  来自 微博网页版,"c
深白的幻想森林w
2024年03月18日 19:00  来自 微博网页版
失业四个月了
你还好吗？

大家好啊
我曾经是一名base在北京的互联网打工狗
因为确实很狗 一路兢兢业业踏实肯干
从11年毕业时月薪3300
到22年年底时月薪3万3
感觉这11个年头就像一个被我越吹越大的大泡泡
去年年底的时候 啪的一声
全都碎了

离职是因为公司要搬家
我因为个人原因
没法跟着大部队一起 展开c"
少数派sspai,2024年03月11日 15:07  来自 微博网页版,"c
少数派sspai
2024年03月11日 15:07  来自 微博网页版
#少数派年度征文# 渐入佳境：斜杠程序员的数字游民转型之旅

大家好，我是张小吉，一个斜杠程序员。去年 8 月份从职场毕业后，开始自己的数字游民转型之旅。 从刚开始的焦虑惶恐盲目尝试，到现在确定自己未来深耕的方向，其中还是有蛮多坎坷的。 不过好在我坚持了下来，目前已经渐入佳境啦。成果就是已 展开c"
丸子麻麻要睡好覺,2024年03月09日 21:12  来自 iPhone客户端,"c
丸子麻麻要睡好覺
2024年03月09日 21:12  来自 iPhone客户端
部门来了个新同事，性别：男 是那种非常典型的🇨🇳男
今天上班的人很少，我们小组这周本是双休，我是调休了这周单休，他是因为刚来不知道这周双休所以来上班了
一大早非常主动找我搭话了，三言两语就打开了我这个闷葫芦的话匣子。
在这之前，听说部门来了个很厉害的，我知道就是他的那一瞬间我承 展开c"
