城市_清洗,行业,薪资_月平均K,经验要求,学历要求
北京,投资/融资,22.5,经验不限,学历不限
北京,计算机软件,7.5,经验不限,学历不限
北京,生活服务(O2O),10.5,经验不限,学历不限
北京,智能硬件/消费电子,45.0,1-3年,硕士
北京,互联网金融,30.0,经验不限,学历不限
北京,培训/辅导机构,22.5,经验不限,学历不限
北京,互联网,20.0,经验不限,学历不限
北京,人力资源服务,17.5,3-5年,学历不限
北京,游戏,12.5,经验不限,学历不限
北京,医疗器械,22.5,5-10年,学历不限
北京,企业服务,0.78,经验不限,学历不限
北京,其他专业服务,11.5,1年以内,学历不限
北京,医疗器械,9.0,1-3年,学历不限
北京,物业管理,7.5,1年以内,学历不限
北京,新能源汽车,12.5,经验不限,学历不限
北京,珠宝/首饰,7.5,经验不限,学历不限
北京,保健/养生,10.5,经验不限,学历不限
北京,人力资源服务,9.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,医美服务,22.5,经验不限,学历不限
北京,互联网,87.5,5-10年,硕士
北京,家政服务,7.0,经验不限,学历不限
北京,企业服务,6.5,经验不限,学历不限
北京,美容,9.0,经验不限,学历不限
北京,其他专业服务,10.5,经验不限,学历不限
北京,互联网金融,10.5,经验不限,高中
北京,医疗健康,10.0,1年以内,学历不限
北京,休闲/娱乐,5.0,经验不限,学历不限
北京,批发/零售,8.0,经验不限,学历不限
北京,电子/半导体/集成电路,5.25,经验不限,学历不限
北京,投资/融资,22.5,经验不限,学历不限
北京,计算机软件,7.5,经验不限,学历不限
北京,生活服务(O2O),10.5,经验不限,学历不限
北京,智能硬件/消费电子,45.0,1-3年,硕士
北京,互联网金融,30.0,经验不限,学历不限
北京,培训/辅导机构,22.5,经验不限,学历不限
北京,互联网,20.0,经验不限,学历不限
北京,人力资源服务,17.5,3-5年,学历不限
北京,游戏,12.5,经验不限,学历不限
北京,医疗器械,22.5,5-10年,学历不限
北京,企业服务,0.78,经验不限,学历不限
北京,其他专业服务,11.5,1年以内,学历不限
北京,医疗器械,9.0,1-3年,学历不限
北京,物业管理,7.5,1年以内,学历不限
北京,新能源汽车,12.5,经验不限,学历不限
北京,珠宝/首饰,7.5,经验不限,学历不限
北京,保健/养生,10.5,经验不限,学历不限
北京,人力资源服务,9.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,医美服务,22.5,经验不限,学历不限
北京,互联网,87.5,5-10年,硕士
北京,家政服务,7.0,经验不限,学历不限
北京,企业服务,6.5,经验不限,学历不限
北京,美容,9.0,经验不限,学历不限
北京,其他专业服务,10.5,经验不限,学历不限
北京,互联网金融,10.5,经验不限,高中
北京,医疗健康,10.0,1年以内,学历不限
北京,休闲/娱乐,5.0,经验不限,学历不限
北京,批发/零售,8.0,经验不限,学历不限
北京,电子/半导体/集成电路,5.25,经验不限,学历不限
北京,投资/融资,22.5,经验不限,学历不限
北京,计算机软件,7.5,经验不限,学历不限
北京,生活服务(O2O),10.5,经验不限,学历不限
北京,智能硬件/消费电子,45.0,1-3年,硕士
北京,互联网金融,30.0,经验不限,学历不限
北京,培训/辅导机构,22.5,经验不限,学历不限
北京,互联网,20.0,经验不限,学历不限
北京,人力资源服务,17.5,3-5年,学历不限
北京,游戏,12.5,经验不限,学历不限
北京,医疗器械,22.5,5-10年,学历不限
北京,企业服务,0.78,经验不限,学历不限
北京,其他专业服务,11.5,1年以内,学历不限
北京,医疗器械,9.0,1-3年,学历不限
北京,物业管理,7.5,1年以内,学历不限
北京,新能源汽车,12.5,经验不限,学历不限
北京,珠宝/首饰,7.5,经验不限,学历不限
北京,保健/养生,10.5,经验不限,学历不限
北京,人力资源服务,9.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,医美服务,22.5,经验不限,学历不限
北京,互联网,87.5,5-10年,硕士
北京,家政服务,7.0,经验不限,学历不限
北京,企业服务,6.5,经验不限,学历不限
北京,美容,9.0,经验不限,学历不限
北京,其他专业服务,10.5,经验不限,学历不限
北京,互联网金融,10.5,经验不限,高中
北京,医疗健康,10.0,1年以内,学历不限
北京,休闲/娱乐,5.0,经验不限,学历不限
北京,批发/零售,8.0,经验不限,学历不限
北京,电子/半导体/集成电路,5.25,经验不限,学历不限
北京,投资/融资,22.5,经验不限,学历不限
北京,计算机软件,7.5,经验不限,学历不限
北京,生活服务(O2O),10.5,经验不限,学历不限
北京,智能硬件/消费电子,45.0,1-3年,硕士
北京,互联网金融,30.0,经验不限,学历不限
北京,培训/辅导机构,22.5,经验不限,学历不限
北京,互联网,20.0,经验不限,学历不限
北京,人力资源服务,17.5,3-5年,学历不限
北京,游戏,12.5,经验不限,学历不限
北京,医疗器械,22.5,5-10年,学历不限
北京,企业服务,0.78,经验不限,学历不限
北京,其他专业服务,11.5,1年以内,学历不限
北京,医疗器械,9.0,1-3年,学历不限
北京,物业管理,7.5,1年以内,学历不限
北京,新能源汽车,12.5,经验不限,学历不限
北京,珠宝/首饰,7.5,经验不限,学历不限
北京,保健/养生,10.5,经验不限,学历不限
北京,人力资源服务,9.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,医美服务,22.5,经验不限,学历不限
北京,互联网,87.5,5-10年,硕士
北京,家政服务,7.0,经验不限,学历不限
北京,企业服务,6.5,经验不限,学历不限
北京,美容,9.0,经验不限,学历不限
北京,其他专业服务,10.5,经验不限,学历不限
北京,互联网金融,10.5,经验不限,高中
北京,医疗健康,10.0,1年以内,学历不限
北京,休闲/娱乐,5.0,经验不限,学历不限
北京,批发/零售,8.0,经验不限,学历不限
北京,电子/半导体/集成电路,5.25,经验不限,学历不限
北京,投资/融资,22.5,经验不限,学历不限
北京,计算机软件,7.5,经验不限,学历不限
北京,生活服务(O2O),10.5,经验不限,学历不限
北京,智能硬件/消费电子,45.0,1-3年,硕士
北京,互联网金融,30.0,经验不限,学历不限
北京,培训/辅导机构,22.5,经验不限,学历不限
北京,互联网,20.0,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
北京,建筑设计,2.42,1-3年,学历不限
北京,餐饮,6.5,经验不限,高中
北京,其他生活服务,9.5,经验不限,学历不限
北京,互联网金融,12.5,经验不限,高中
北京,培训/辅导机构,,经验不限,学历不限
北京,互联网,6.6,经验不限,学历不限
北京,美容/美发,10.5,1-3年,学历不限
北京,餐饮,6.5,经验不限,学历不限
北京,互联网,12.5,1-3年,学历不限
北京,互联网,10.5,经验不限,学历不限
北京,其他生活服务,12.5,经验不限,学历不限
北京,互联网,5.39,经验不限,硕士
北京,餐饮,5.5,经验不限,学历不限
北京,计算机硬件,6.6,经验不限,学历不限
北京,餐饮,5.5,1年以内,学历不限
北京,原材料及加工/模具,9.5,1-3年,学历不限
北京,装修装饰,1.26,经验不限,学历不限
北京,游戏,7.5,5-10年,学历不限
北京,餐饮,6.0,经验不限,学历不限
北京,餐饮,7.5,1-3年,学历不限
北京,4S店/后市场,5.5,经验不限,学历不限
北京,其他生活服务,6.5,1年以内,初中及以下
北京,法律,25.0,经验不限,学历不限
北京,其他专业服务,8.5,经验不限,学历不限
北京,汽车零部件,6.5,1-3年,高中
北京,美容,11.5,1-3年,学历不限
北京,汽车经销商,12.5,1-3年,学历不限
北京,服装/纺织,1.02,1年以内,高中
北京,其他生活服务,5.5,经验不限,学历不限
北京,批发/零售,6.5,经验不限,学历不限
武汉,互联网,6.5,经验不限,学历不限
武汉,电子商务,6.75,经验不限,学历不限
武汉,休闲/娱乐,4.5,经验不限,学历不限
武汉,食品/饮料/烟酒,5.0,经验不限,学历不限
武汉,咨询,5.0,经验不限,高中
武汉,批发/零售,39.6,经验不限,学历不限
武汉,法律,10.5,经验不限,学历不限
武汉,计算机软件,14.5,3-5年,硕士
武汉,休闲/娱乐,3.5,经验不限,学历不限
武汉,电子/硬件开发,37.5,5-10年,本科
武汉,其他行业,6.0,3-5年,高中
武汉,新能源汽车,13.5,经验不限,学历不限
武汉,餐饮,6.0,经验不限,学历不限
武汉,半导体/芯片,6.5,经验不限,高中
武汉,建筑材料,12.5,1-3年,高中
武汉,其他专业服务,8.0,3-5年,学历不限
武汉,汽车零部件,10.5,3-5年,学历不限
武汉,互联网,9.5,经验不限,学历不限
武汉,电子商务,8.5,1-3年,学历不限
武汉,餐饮,4.95,经验不限,学历不限
武汉,生活服务(O2O),9.5,经验不限,学历不限
武汉,汽车后市场,11.5,1-3年,高中
武汉,餐饮,3.5,1年以内,初中及以下
武汉,其他金融业,9.5,经验不限,学历不限
武汉,房地产中介/租赁,7.5,经验不限,学历不限
武汉,电子/半导体/集成电路,7.25,经验不限,学历不限
武汉,美容,12.5,1-3年,学历不限
武汉,家政服务,8.0,1年以内,学历不限
武汉,其他专业服务,7.5,经验不限,学历不限
武汉,互联网,7.5,经验不限,学历不限
武汉,公路物流,6.5,3-5年,学历不限
武汉,服装/纺织,18.0,经验不限,学历不限
武汉,物业管理,4.0,1-3年,学历不限
武汉,装修装饰,8.0,5-10年,学历不限
武汉,餐饮,5.5,经验不限,学历不限
武汉,广告/公关/会展,7.0,1-3年,学历不限
武汉,电子商务,7.5,1-3年,学历不限
武汉,机械设备/机电/重工,5.5,经验不限,学历不限
武汉,广告/公关/会展,7.5,1-3年,学历不限
武汉,家政服务,6.5,经验不限,学历不限
武汉,电子/硬件开发,7.5,经验不限,学历不限
武汉,计算机/通信/其他电子设备,6.5,经验不限,学历不限
武汉,文化艺术/娱乐,30.0,经验不限,学历不限
武汉,食品/饮料/烟酒,6.0,经验不限,学历不限
武汉,互联网金融,17.5,1-3年,学历不限
武汉,批发/零售,11.5,3-5年,学历不限
武汉,餐饮,7.5,经验不限,学历不限
武汉,文化艺术/娱乐,10.5,经验不限,学历不限
武汉,家政服务,7.5,经验不限,学历不限
武汉,批发/零售,0.54,经验不限,学历不限
武汉,餐饮,4.5,经验不限,学历不限
武汉,其他生活服务,8.0,经验不限,学历不限
武汉,在线教育,10.5,经验不限,学历不限
武汉,房地产中介/租赁,6.5,1-3年,学历不限
武汉,批发/零售,4.5,1-3年,学历不限
武汉,餐饮,5.0,1-3年,初中及以下
武汉,餐饮,0.54,经验不限,学历不限
武汉,服装/纺织,12.5,5-10年,学历不限
武汉,餐饮,8.25,经验不限,学历不限
武汉,餐饮,3.5,经验不限,学历不限
武汉,房地产中介/租赁,20.0,经验不限,学历不限
武汉,游戏,16.5,3-5年,学历不限
武汉,休闲/娱乐,20.0,经验不限,学历不限
武汉,餐饮,5.5,经验不限,学历不限
武汉,保健/养生,10.0,经验不限,初中及以下
武汉,通用设备,6.5,1-3年,学历不限
武汉,互联网金融,9.0,经验不限,学历不限
武汉,投资/融资,12.5,1-3年,学历不限
武汉,文化艺术/娱乐,5.5,经验不限,学历不限
武汉,互联网,5.5,经验不限,学历不限
武汉,文化艺术/娱乐,12.5,1-3年,学历不限
武汉,汽车零部件,10.0,1-3年,学历不限
武汉,其他生活服务,7.5,经验不限,学历不限
武汉,珠宝/首饰,7.5,经验不限,学历不限
武汉,新零售,6.0,经验不限,学历不限
武汉,互联网,7.0,经验不限,学历不限
武汉,餐饮,0.54,经验不限,学历不限
武汉,咨询,30.0,经验不限,学历不限
武汉,交通/运输,10.0,3-5年,学历不限
武汉,美容,8.5,经验不限,学历不限
武汉,游戏,32.5,经验不限,学历不限
武汉,文化艺术/娱乐,5.4,经验不限,学历不限
武汉,餐饮,6.0,经验不限,学历不限
武汉,社交网络与媒体,10.5,经验不限,学历不限
武汉,互联网,7.5,经验不限,学历不限
武汉,批发/零售,6.0,经验不限,学历不限
武汉,文化艺术/娱乐,10.5,经验不限,学历不限
武汉,休闲/娱乐,12.5,经验不限,学历不限
武汉,食品/饮料/烟酒,6.5,1-3年,高中
武汉,医疗服务,12.5,3-5年,高中
广州,互联网,7.0,经验不限,学历不限
广州,人工智能,16.5,经验不限,学历不限
广州,互联网,3.3,经验不限,学历不限
广州,其他行业,18.0,经验不限,学历不限
广州,餐饮,3.5,1-3年,学历不限
广州,电子商务,5.5,1-3年,学历不限
广州,电子/半导体/集成电路,5.5,1-3年,高中
广州,新能源汽车,10.0,经验不限,学历不限
广州,家政服务,5.5,经验不限,学历不限
广州,医疗服务,5.0,经验不限,学历不限
广州,文化艺术/娱乐,10.5,经验不限,学历不限
广州,其他生活服务,8.5,经验不限,学历不限
广州,培训/辅导机构,2.64,1-3年,学历不限
广州,休闲/娱乐,14.5,经验不限,学历不限
广州,其他生活服务,,经验不限,学历不限
广州,家政服务,11.5,经验不限,学历不限
广州,其他生活服务,6.5,经验不限,学历不限
广州,餐饮,4.5,1年以内,高中
广州,互联网,11.0,3-5年,高中
广州,电子商务,11.0,1-3年,学历不限
广州,文化艺术/娱乐,7.7,经验不限,学历不限
广州,文化艺术/娱乐,22.5,经验不限,学历不限
广州,其他行业,22.5,1-3年,学历不限
广州,食品/饮料/烟酒,6.0,3-5年,高中
广州,美容,8.5,经验不限,学历不限
广州,文化艺术/娱乐,10.5,1-3年,学历不限
广州,珠宝/首饰,5.0,1年以内,学历不限
广州,电子商务,17.5,1-3年,学历不限
广州,服装/纺织,9.0,1-3年,学历不限
广州,互联网,8.0,经验不限,学历不限
广州,批发/零售,7.0,经验不限,学历不限
广州,医美服务,12.5,1-3年,初中及以下
广州,咨询,11.5,经验不限,学历不限
广州,互联网,2.53,经验不限,学历不限
广州,即时配送,8.0,经验不限,学历不限
广州,批发/零售,10.5,1-3年,学历不限
广州,进出口贸易,23.5,1-3年,高中
广州,咨询,8.5,经验不限,学历不限
广州,互联网金融,30.0,1-3年,学历不限
广州,其他行业,8.0,经验不限,学历不限
广州,家政服务,9.5,经验不限,学历不限
广州,食品/饮料/烟酒,6.0,经验不限,学历不限
广州,服装/纺织,4.8,经验不限,学历不限
广州,其他专业服务,30.0,经验不限,学历不限
广州,美容,22.5,1-3年,学历不限
广州,互联网,8.0,经验不限,学历不限
广州,批发/零售,5.0,1年以内,初中及以下
广州,物流/仓储,22.5,5-10年,学历不限
广州,房地产中介/租赁,9.0,经验不限,学历不限
广州,保健/养生,6.5,1-3年,学历不限
广州,美容,21.0,经验不限,学历不限
广州,家政服务,9.5,经验不限,学历不限
广州,即时配送,,经验不限,学历不限
广州,文化艺术/娱乐,10.0,经验不限,学历不限
广州,社交网络与媒体,9.0,经验不限,学历不限
广州,电子/半导体/集成电路,8.5,5-10年,高中
广州,电子商务,10.5,经验不限,学历不限
广州,游戏,10.0,经验不限,学历不限
广州,服装/纺织,30.0,1年以内,学历不限
广州,互联网,9.5,经验不限,学历不限
广州,客运服务,11.5,经验不限,学历不限
广州,文化艺术/娱乐,12.5,经验不限,学历不限
广州,生活服务(O2O),4.5,经验不限,学历不限
广州,服装/纺织,11.5,5-10年,学历不限
广州,批发/零售,6.5,1-3年,学历不限
广州,互联网,7.0,经验不限,学历不限
广州,日化,4.5,经验不限,高中
广州,快递,8.0,经验不限,学历不限
广州,批发/零售,0.54,经验不限,学历不限
广州,批发/零售,30.0,经验不限,学历不限
广州,美容,22.5,1-3年,学历不限
广州,文化艺术/娱乐,5.5,1-3年,学历不限
广州,即时配送,11.0,经验不限,学历不限
广州,餐饮,5.5,1-3年,学历不限
广州,休闲/娱乐,22.5,经验不限,学历不限
广州,橡胶/塑料制品,5.5,经验不限,学历不限
广州,日化,8.0,1-3年,学历不限
广州,装修装饰,2.5,经验不限,学历不限
广州,汽车零部件,5.0,1-3年,学历不限
广州,电子/半导体/集成电路,6.5,经验不限,学历不限
广州,文化艺术/娱乐,10.5,经验不限,学历不限
广州,家政服务,16.5,经验不限,学历不限
广州,互联网,14.0,5-10年,高中
广州,汽车零部件,6.75,经验不限,学历不限
广州,互联网,12.5,3-5年,学历不限
广州,互联网,1.8,经验不限,学历不限
广州,食品/饮料/烟酒,7.0,经验不限,学历不限
广州,文化艺术/娱乐,18.0,经验不限,学历不限
广州,文化艺术/娱乐,27.5,经验不限,学历不限
广州,日化,11.5,经验不限,学历不限
广州,其他生活服务,10.5,3-5年,学历不限
广州,新能源汽车,10.0,经验不限,学历不限
广州,人力资源服务,5.5,经验不限,学历不限
广州,家政服务,8.0,经验不限,学历不限
广州,企业服务,6.5,经验不限,学历不限
广州,互联网,10.5,1-3年,学历不限
广州,医疗器械,2.53,经验不限,学历不限
广州,其他生活服务,17.5,经验不限,学历不限
广州,餐饮,5.5,经验不限,学历不限
广州,文化艺术/娱乐,7.5,3-5年,学历不限
广州,酒店/民宿,4.5,1年以内,学历不限
广州,美容/美发,6.5,经验不限,学历不限
广州,运动/健身,3.5,经验不限,学历不限
广州,运营商/增值服务,7.5,经验不限,学历不限
广州,家政服务,7.5,经验不限,学历不限
广州,餐饮,0.54,经验不限,学历不限
广州,运动/健身,12.5,经验不限,学历不限
广州,其他生活服务,8.5,经验不限,学历不限
广州,美容/美发,5.5,1-3年,学历不限
广州,互联网,10.0,1年以内,学历不限
广州,人工智能,7.5,经验不限,学历不限
广州,餐饮,0.48,经验不限,学历不限
广州,互联网,14.0,经验不限,学历不限
广州,文化艺术/娱乐,10.5,经验不限,学历不限
广州,进出口贸易,9.5,5-10年,学历不限
